کد کتاب :,مترجم:,شابک:,قطع:,تعداد صفحه:,سال انتشار شمسی:,سال انتشار میلادی:,نوع جلد:,سری چاپ:,زودترین زمان ارسال:,name,eng_name,price,data_rating,title_rating,exists,discount,url,translator,publisher,author,tags,description,title,کد محصول :,زبان بازی:,درجه دشواری:,زمان تقریبی:,زبان کتاب:,کارگردان:,نوع رسانه:,تعداد حلقه:,نوع بسته بندی:,زبان اثر:,تعداد جلد:,آهنگساز:,نوازنده:,تصویرگر:,ابعاد:
48350,باجلان فرخی,978-9643310578,وزیری,260,1402,1969,جلد سخت,6,9 مهر,کتاب شناخت اساطیر یونان,Greek Mythology,"285,000",3.28,4.5,1,10 % تخفیف,https://www.iranketab.ir/book/48350-greek-mythology,"[{'id': '15510', 'name': 'باجلان فرخی', 'url': 'https://www.iranketab.ir/profile/15510-%d8%a8%d8%a7%d8%ac%d9%84%d8%a7%d9%86-%d9%81%d8%b1%d8%ae%db%8c'}]","{'id': '86', 'name': 'اساطیر', 'url': 'https://www.iranketab.ir/publisher/86-%d8%a7%d8%b3%d8%a7%d8%b7%db%8c%d8%b1'}","{'id': '27224', 'name': 'جان پینسنت', 'url': 'https://www.iranketab.ir/profile/27224-john-pinsent'}","[{'id': '29', 'name': 'ادبیات انگلیس', 'url': 'https://www.iranketab.ir/tag/29-english-literature'}, {'id': '139', 'name': 'ادبیات واقع گرایانه', 'url': 'https://www.iranketab.ir/tag/139-realism-literature'}, {'id': '172', 'name': 'دهه 1960 میلادی', 'url': 'https://www.iranketab.ir/tag/172-1960s'}, {'id': '300', 'name': 'تاریخی', 'url': 'https://www.iranketab.ir/tag/300-historical'}, {'id': '379', 'name': 'فانتزی', 'url': 'https://www.iranketab.ir/tag/379-fantasy'}, {'id': '384', 'name': 'ادبیات یونان', 'url': 'https://www.iranketab.ir/tag/384-greek-literature'}, {'id': '473', 'name': 'اسطوره ها و افسانه ها', 'url': 'https://www.iranketab.ir/tag/473-mythology'}, {'id': '539', 'name': 'کتاب مصور', 'url': 'https://www.iranketab.ir/tag/539-comic-books'}]",اساطیر یونانی مجموعه اساطیر و آموزه‌هایی است که به یونان باستان مرتبط می‌باشد، دربارهٔ خدایان و قهرمانان آنان، طبیعت جهان و ریشه‌های آن و اهمیت مکتب و آیین آن‌ها سخن می‌گوید. این اسطوره‌شناسی بخشی از دین یونان باستان می‌باشد. محققان به منظور مشخص کردن تأثیرات دینی و سیاسی آن بر یونان باستان و تمدن آن و درک خود اسطوره‌سازی، اسطوره‌ها را بررسی می‌کنند.اساطیر یونانی به صراحت و به‌طور گسترده در مجموعه‌ای از داستان‌ها و به‌طور ضمنی در آثار هنری یونانی مانند گلدان‌های نقاشی و هدایای وتیو نمود یافته‌است. اسطوره‌های یونانی می‌کوشند منشأ جهان را توصیف کنند، و جزئیات زندگی‌ها و ماجراهای طیف گسترده‌ای از خدایان، الهه‌ها، قهرمانان، پهلوانان و موجودات اساطیری را بیان می‌نماید. این حساب‌ها در ابتدا در یک سنت شفاهی درج شدند؛ امروزه اساطیر یونانی در درجه اول از ادبیات یونانی معلوم می‌شوند. قدیمی‌ترین منابع ادبی یونان، یعنی اشعار حماسی ایلیاد و ادیسه هومر، بر روی جنگ تروآ و اتفاقات بعدی آن تمرکز کرده‌اند. هزیود، شاعر معاصر هومر، دو اثر به نام‌های تئوگونیا و کارها و روزها نوشته‌است، که دربارهٔ پیدایش جهان، جانشینی قوانین الهی، جانشینی نسل‌های بشر، ریشه مشکلات انسان و ریشه کارهای فداکارانه سخن می‌گوید. همچنین اساطیر در سرودهای هومری، در قطعات اشعار حماسی از چرخه حماسی، در اشعار غنایی، در کارهای تراژیک قرن پنجم قبل از میلاد، در آثار محققان و شاعران عصر هلنیستی، و در متون امپراتوری روم نوشته شده به دست پلوتارک و پوسانیاس دیده می‌شود.کتاب شناخت اساطیر یونان توسعه و اهمیت اجتماعی اسطوره را در جامعه یونانی علاوه بر توصیف بهره‌برداری‌ها و ویژگی‌های فیزیکی خدایان و قهرمانان منفرد تحلیل می‌کند.,,,,,,,,,,,,,,,,
97208,,978-6227612622,رقعی,158,1400,,شومیز,1,12 مهر,کتاب می خواهم بیدار بمانم,Mikhaham Bidar Bemanam,"58,000",3.69,3.69,1,20 % تخفیف,https://www.iranketab.ir/book/97208-mikhaham-bidar-bemanam,[],"{'id': '2908', 'name': 'مهر و دل', 'url': 'https://www.iranketab.ir/publisher/2908-%d9%85%d9%87%d8%b1-%d9%88-%d8%af%d9%84'}","{'id': '52565', 'name': 'وحید اصالت فر', 'url': 'https://www.iranketab.ir/profile/52565-%d9%88%d8%ad%db%8c%d8%af-%d8%a7%d8%b5%d8%a7%d9%84%d8%aa-%d9%81%d8%b1'}","[{'id': '103', 'name': 'ادبیات داستانی', 'url': 'https://www.iranketab.ir/tag/103-fiction'}, {'id': '105', 'name': 'ادبیات معاصر', 'url': 'https://www.iranketab.ir/tag/105-contemporary-literature'}, {'id': '437', 'name': 'ادبیات ایران', 'url': 'https://www.iranketab.ir/tag/437-iranian-literature'}]",,,,,,,,,,,,,,,,,
63985,حمید دشتی,978-6001041587,رقعی,84,1400,2009,شومیز,1,10 مهر,کتاب آن طرف,Over There,"30,000",3.25,3.25,1,25 % تخفیف,https://www.iranketab.ir/book/63985-over-there,"[{'id': '4596', 'name': 'حمید دشتی', 'url': 'https://www.iranketab.ir/profile/4596-hamid-dashti'}]","{'id': '2150', 'name': 'دیدآور', 'url': 'https://www.iranketab.ir/publisher/2150-%d8%af%db%8c%d8%af%d8%a2%d9%88%d8%b1'}","{'id': '26430', 'name': 'مارک ریون هیل', 'url': 'https://www.iranketab.ir/profile/26430-mark-ravenhill'}","[{'id': '29', 'name': 'ادبیات انگلیس', 'url': 'https://www.iranketab.ir/tag/29-english-literature'}, {'id': '167', 'name': 'دهه 2010 میلادی', 'url': 'https://www.iranketab.ir/tag/167-2010s'}, {'id': '285', 'name': 'ادبیات نمایشی', 'url': 'https://www.iranketab.ir/tag/285-dramatic-literature'}, {'id': '337', 'name': 'هنری', 'url': 'https://www.iranketab.ir/tag/337-artistic'}, {'id': '347', 'name': 'نمایشنامه درام', 'url': 'https://www.iranketab.ir/tag/347-drama-play'}, {'id': '630', 'name': 'سینما و تئاتر', 'url': 'https://www.iranketab.ir/tag/630-cinema-theatre'}]",مارک ریون هیل، نمایشنامه نویس، بازیگر و روزنامه نگار انگلیسی، متولد 1966، نوشتن را از اوایل دهه نود آغاز کرد و به نمایشنامه های تاریخی و نمایش پانتومیم سنتی علاقه مند بود. اما دهه ی نخست قرن بیست و یکم کارش پیشرفت کرد و دستخوش تغییرات شد. در حالی که کارهای او در دهه نود تلاشی برای نشان دادن جامعه ی امروز انگلیس بود، کارهای اخیرش بیشتر آثاری تجربه گرا و انتزاعی اند، بازتاب دقیقی از محدودیت های زبان و فرم برای بیان واقعیت زمان معاصر. نمایشنامه ی آن طرف دو شخصیت دارد، دو برادر دوقلو، که نماد بخش های شرقی و غربی یک کشورند و در این اثر، اتحاد و فروپاشی آلمان از طریق کشمکش بین برادران دوقلو نشان داده می شود.,,,,,,,,,,,,,,,,
85206,,978-6227765113,رقعی,236,1401,,شومیز,2,10 مهر,کتاب چگونه خوب زندگی کنیم؟,How to live well,"130,000",3.28,3.28,1,30 % تخفیف,https://www.iranketab.ir/book/85206-how-to-live-well,[],"{'id': '1614', 'name': 'کرگدن', 'url': 'https://www.iranketab.ir/publisher/1614-%da%a9%d8%b1%da%af%d8%af%d9%86'}","{'id': '5561', 'name': 'مالک حسینی', 'url': 'https://www.iranketab.ir/profile/5561-malek-hoseini'}","[{'id': '291', 'name': 'فلسفی', 'url': 'https://www.iranketab.ir/tag/291-philosophy'}, {'id': '295', 'name': 'نقد ادبی', 'url': 'https://www.iranketab.ir/tag/295-literary-criticism'}, {'id': '327', 'name': 'روانشناسی', 'url': 'https://www.iranketab.ir/tag/327-psychology'}, {'id': '437', 'name': 'ادبیات ایران', 'url': 'https://www.iranketab.ir/tag/437-iranian-literature'}]",کتاب « چگونه خوب زندگی کنیم؟» نوشته مالک حسینی توسط انتشارات کرگدن منتشر شده است. یکی از حیطه‌هایی که ارسطو آثار بسیار مهمی در آن از خود به جا گذاشته «فلسفۀ عملی» است و مهم‌ترین این آثار در حوزۀ فلسفۀ اخلاق یا همان اخلاق‌شناسی است، و اخلاق نیکوماخوس اثر اصلی و مشهور او در این زمینه است. اگر خوانندۀ غیرحرفه‌ای فلسفه بخواهد اثری از حرفه‌ای‌ترین فیلسوف تاریخ بخواند تا هم کتاب جدی فلسفی خوانده باشد و هم به زندگی‌اش فایده‌ای برساند، باید سراغ اخلاق نیکوماخوس برود؛ خوانندۀ حرفه‌ای فلسفه هم اگر بخواهد یکی از مهم‌ترین پنج کتاب کل تاریخ فلسفۀ اخلاق، یا اصلا یکی از مهم‌ترین بیست یا سی کتاب کل تاریخ فلسفه، را بخواند، باید سراغ این کتاب نیز برود. اخلاق نیکوماخوس هم کتاب زندگی است هم کتاب فلسفی.کتاب پیش رو عمدتا بر اساس متن اخلاق نیکوماخوس نوشته شده و سعی نویسنده بر این بوده که در آن گزارشی فصل‌به‌فصل و کامل از اخلاق نیکوماخوس به دست دهد و هیچ نکتۀ مهمی را مغفول نگذارد، ضمن اینکه تا حد امکان از ورود به بحث‌های تخصصی و اختلافی پرهیز کند.,,,,,,,,,,,,,,,,
36834,,978-9645362247,رحلی,12,1394,,شومیز,3,12 مهر,کتاب داستانک های شنبه تا پنج شنبه 7,Dastanak,"40,000",3.61,3.61,1,30 % تخفیف,https://www.iranketab.ir/book/36834-dastanak,[],"{'id': '1108', 'name': 'قدیانی', 'url': 'https://www.iranketab.ir/publisher/1108-%d9%82%d8%af%db%8c%d8%a7%d9%86%db%8c'}","{'id': '21250', 'name': 'فریبرز لرستانی', 'url': 'https://www.iranketab.ir/profile/21250-%d9%81%d8%b1%db%8c%d8%a8%d8%b1%d8%b2-%d9%84%d8%b1%d8%b3%d8%aa%d8%a7%d9%86%db%8c'}","[{'id': '103', 'name': 'ادبیات داستانی', 'url': 'https://www.iranketab.ir/tag/103-fiction'}, {'id': '114', 'name': 'ادبیات کودک و نوجوان', 'url': 'https://www.iranketab.ir/tag/114-childrens-literature'}, {'id': '265', 'name': 'مجموعه داستان', 'url': 'https://www.iranketab.ir/tag/265-collections'}, {'id': '356', 'name': 'داستان کوتاه', 'url': 'https://www.iranketab.ir/tag/356-short-story'}, {'id': '437', 'name': 'ادبیات ایران', 'url': 'https://www.iranketab.ir/tag/437-iranian-literature'}, {'id': '504', 'name': 'کتاب کودک', 'url': 'https://www.iranketab.ir/tag/504-children%e2%80%99s-book'}, {'id': '539', 'name': 'کتاب مصور', 'url': 'https://www.iranketab.ir/tag/539-comic-books'}]",هر یک از داستانک های مصور و بسیار بسیار کوتاه این مجموعه نکته ی عاطفی ظریفی در خود دارند که گاه آنها را به قطعه ی ادبی شبیه تر می کند تا داستان. این داستان های کوتاه در دوازده جلد جداگانه نیز به چاپ رسیده اند.,(میویی و مامان و 5 داستانک دیگر),,,,,,,,,,,,,,,
55085,شیوا دهقانی,978-6003380530,وزیری,262,1399,2012,زرکوب,2,---,کتاب بهترین غذاهای بدون گلوتن,101 Best Gluten-Free Foods,"90,000",3.11,3.11,0,,https://www.iranketab.ir/book/55085-101-best-gluten-free-foods,"[{'id': '30527', 'name': 'شیوا دهقانی', 'url': 'https://www.iranketab.ir/profile/30527-%d8%b4%db%8c%d9%88%d8%a7-%d8%af%d9%87%d9%82%d8%a7%d9%86%db%8c'}]","{'id': '24', 'name': 'بهجت', 'url': 'https://www.iranketab.ir/publisher/24-%d8%a8%d9%87%d8%ac%d8%aa'}","{'id': '30711', 'name': 'کارول اموری', 'url': 'https://www.iranketab.ir/profile/30711-carol-emory'}","[{'id': '97', 'name': 'ادبیات آمریکا', 'url': 'https://www.iranketab.ir/tag/97-american-literature'}, {'id': '167', 'name': 'دهه 2010 میلادی', 'url': 'https://www.iranketab.ir/tag/167-2010s'}, {'id': '539', 'name': 'کتاب مصور', 'url': 'https://www.iranketab.ir/tag/539-comic-books'}, {'id': '595', 'name': 'آشپزی', 'url': 'https://www.iranketab.ir/tag/595-cooking'}]",کتاب حاضر دربردارندۀ اطلاعات مهم و مفیدی جهت تهیه غذاهای متنوع و بدون گلوتن برای افراد مبتلا به بیماری گوارشی سلیاک و افراد حساس به گلوتن می باشد. سلیاک بیماری گوارشی است که به پرزهای روده کوچک آسیب می رساند و سبب اختلال در جذب مواد مغذی می شود و هنگامی که این افراد مواد دارای گلوتن مصرف کنند سیستم ایمنی بدن شان پاسخی را به صورت تخریب روده کوچک صادر می کند.,,,,,,,,,,,,,,,,
18340,,978-9649101767,رقعی,128,1389,2009,شومیز,2,---,کتاب هجوم آفتاب,Sunrise,"1,800",3.79,3.79,0,,https://www.iranketab.ir/book/18340-sunrise,[],"{'id': '48', 'name': 'ققنوس', 'url': 'https://www.iranketab.ir/publisher/48-%d9%82%d9%82%d9%86%d9%88%d8%b3'}","{'id': '9664', 'name': 'قباد آذرآیین', 'url': 'https://www.iranketab.ir/profile/9664-ghobad-azaraien'}","[{'id': '105', 'name': 'ادبیات معاصر', 'url': 'https://www.iranketab.ir/tag/105-contemporary-literature'}, {'id': '168', 'name': 'دهه 2000 میلادی', 'url': 'https://www.iranketab.ir/tag/168-2000s'}, {'id': '239', 'name': 'داستان اجتماعی', 'url': 'https://www.iranketab.ir/tag/239-social-stories'}, {'id': '356', 'name': 'داستان کوتاه', 'url': 'https://www.iranketab.ir/tag/356-short-story'}, {'id': '437', 'name': 'ادبیات ایران', 'url': 'https://www.iranketab.ir/tag/437-iranian-literature'}, {'id': '798', 'name': 'جایزه مهرگان ادب', 'url': 'https://www.iranketab.ir/tag/798-mehregane-adab-literary-award'}]",مجموعه داستان های این کتاب روایتی است از اضمحلال یک خانواده در قالب ویرانی یک خانه. «بولدوزرها فردا می آیند. این بار توپشان حسابی پر است. عزمشان را جزم کرده اند. خط و نشان کشیده اند که ملاحظه هیچ کس را نخواهند کرد. رئیسشان گفته کارها نباید بیش از این معطل بماند. دیروز دو نفر آمده بودند سرکشی ساختمان.» قباد آذرآئین نویسنده اهل جنوب کشورمان که پیش از این مجموعه داستان حضور و پسری آن سوی پل را از او خوانده ایم، این بار با ده داستان کوتاه زندگی انسان هایی را روایت می کند که با رنج و کار بیگانه نیستند.,,,,,,,,,,,,,,,,
54588,,978-6226829809,رقعی,386,1400,,شومیز,3,9 مهر,کتاب بازندگان کسب و کارها,Business losers,"120,000",3.97,3.97,1,30 % تخفیف,https://www.iranketab.ir/book/54588-business-losers,[],"{'id': '1201', 'name': 'بهار سبز', 'url': 'https://www.iranketab.ir/publisher/1201-%d8%a8%d9%87%d8%a7%d8%b1-%d8%b3%d8%a8%d8%b2'}","{'id': '3274', 'name': 'مجموعه ی نویسندگان', 'url': 'https://www.iranketab.ir/profile/3274-group-of-authors'}","[{'id': '335', 'name': 'تجارت و کسب و کار', 'url': 'https://www.iranketab.ir/tag/335-business'}, {'id': '382', 'name': 'مدیریت', 'url': 'https://www.iranketab.ir/tag/382-management'}, {'id': '437', 'name': 'ادبیات ایران', 'url': 'https://www.iranketab.ir/tag/437-iranian-literature'}, {'id': '590', 'name': 'آموزشی', 'url': 'https://www.iranketab.ir/tag/590-educational'}]",تجارب و آموزه های حاصل از شکست ها، به مراتب بیش از موفقیت ها است.شکست و بازنده شدن، حقیقتی است که بسیاری از کاسب کاران و کسب و کارها، عمدتا در طول زندگی کاری خود، با آن مواجه می گردند؛ به طوری که هر کسب و کاری، بیش از آن که به سوی موفقیت پیش رود، در معرض شکست قرار دارد.کتاب حاضر، حاوی 115 نمونه از ناکامی ها و شکست های کسب و کارهای گوناگون بوده که علل و عوامل ناکامی و شکست هر یک از این نمونه ها نیز توصیف شده تا مخاطبان محترم با عبرت هایی آموزنده، آگاهی یابند که خطرات ممکن است کجاها در کمین آن ها و کسب و کارشان باشند.همچنین در اثر حاضر، برخی از علل و عوامل کلیدی که باعث شکست کسب و کارها گشته و غفلت و چشم پوشی از آن ها، می تواند برای دیگر کسب و کارها نیز خطر آفرین و جبران ناپذیر باشد، ذکر شده است و...,علل و عوامل,,,,,,,,,,,,,,,
119309,مهرناز پیلتن,978-6220604365,رقعی,77,1402,2019,شومیز,1,12 مهر,کتاب ندای درون,The Sound Inside,"92,000",3.69,5,1,15 % تخفیف,https://www.iranketab.ir/book/119309-the-sound-inside,"[{'id': '52146', 'name': 'مهرناز پیلتن', 'url': 'https://www.iranketab.ir/profile/52146-%d9%85%d9%87%d8%b1%d9%86%d8%a7%d8%b2-%d9%be%db%8c%d9%84%d8%aa%d9%86'}]","{'id': '66', 'name': 'نشر نی', 'url': 'https://www.iranketab.ir/publisher/66-%d9%86%d8%b4%d8%b1-%d9%86%db%8c'}","{'id': '69747', 'name': 'ادم رپ', 'url': 'https://www.iranketab.ir/profile/69747-adam-rapp'}","[{'id': '97', 'name': 'ادبیات آمریکا', 'url': 'https://www.iranketab.ir/tag/97-american-literature'}, {'id': '105', 'name': 'ادبیات معاصر', 'url': 'https://www.iranketab.ir/tag/105-contemporary-literature'}, {'id': '167', 'name': 'دهه 2010 میلادی', 'url': 'https://www.iranketab.ir/tag/167-2010s'}, {'id': '285', 'name': 'ادبیات نمایشی', 'url': 'https://www.iranketab.ir/tag/285-dramatic-literature'}, {'id': '630', 'name': 'سینما و تئاتر', 'url': 'https://www.iranketab.ir/tag/630-cinema-theatre'}]",,,,,,,,,,,,,,,,,
29535,,978-9643729929,رقعی,657,1399,,شومیز,1,10 مهر,کتاب منم،مرجان!,"Me , Marjan!","95,000",3.74,3.74,1,10 % تخفیف,https://www.iranketab.ir/book/29535-me-marjan,[],"{'id': '1330', 'name': 'سخن', 'url': 'https://www.iranketab.ir/publisher/1330-%d8%b3%d8%ae%d9%86'}","{'id': '17120', 'name': 'مرجان اخلاقی', 'url': 'https://www.iranketab.ir/profile/17120-%d9%85%d8%b1%d8%ac%d8%a7%d9%86-%d8%a7%d8%ae%d9%84%d8%a7%d9%82%db%8c'}","[{'id': '102', 'name': 'داستان عاشقانه', 'url': 'https://www.iranketab.ir/tag/102-romantic-stories'}, {'id': '103', 'name': 'ادبیات داستانی', 'url': 'https://www.iranketab.ir/tag/103-fiction'}, {'id': '182', 'name': 'رمان', 'url': 'https://www.iranketab.ir/tag/182-novel'}, {'id': '437', 'name': 'ادبیات ایران', 'url': 'https://www.iranketab.ir/tag/437-iranian-literature'}]",اساس خلقت دنیا را بر مدار فرصت ها گذاشته اند. خداست که از روی عشق به همه هستی فرصت می دهد و در این میان تنها عاشقانند که از روی ادب، فرصت شناسی می کنند. آن چه می خوانید قصه کسی است که همه عمر فرصت هایش را سوزانده و چیزی در دست ندارد. اگر زنی که خود را رسوا کرده عاشق یک مرد آبرومند شود، چه کسی به جز خدا می تواند ستار العیوب شود و برای او پادرمیانی کند؟!,,,,,,,,,,,,,,,,
,,,,,,,,,12 مهر,بسته بازی کارتی حواس جمع 2,CAREFUL COMPLETE THE SHAPE,"115,000",3.14,3.14,1,10 % تخفیف,https://www.iranketab.ir/book/70830-careful-complete-the-shape,[],"{'id': '2713', 'name': 'زینگو', 'url': 'https://www.iranketab.ir/publisher/2713-%d8%b2%db%8c%d9%86%da%af%d9%88'}",,"[{'id': '996', 'name': 'تا چهار نفر', 'url': 'https://www.iranketab.ir/tag/996-up-to-four-people'}, {'id': '998', 'name': 'بازی و سرگرمی', 'url': 'https://www.iranketab.ir/tag/998-board-game'}, {'id': '999', 'name': 'بازی کارتی', 'url': 'https://www.iranketab.ir/tag/999-card-game'}, {'id': '1001', 'name': 'بازی فکری', 'url': 'https://www.iranketab.ir/tag/1001-brain-teaser'}, {'id': '1013', 'name': 'دو نفره', 'url': 'https://www.iranketab.ir/tag/1013-two-people'}, {'id': '1062', 'name': 'بالای 4 سال', 'url': 'https://www.iranketab.ir/tag/1062-over-4-years'}]",توی این بازی به دنبال کامل کردن شکل نهایی هستین،دو تا کارت رو برگردونین اگه همدیگه رو کامل کردن برشون دارین در غیر این صورت اونارو برگردونین و ذوباره تلاش کنید تا در نهایت شکل تکمیل بشه.محتویات:2 دسته کارت 24تایی،بروشور بازی.,,70830,فارسی,ساده,15 دقیقه,,,,,,,,,,,
88592,,978-0501829522,رقعی,200,1401,2019,شومیز,1,10 مهر,کتاب مجموعه مانگا ۲ (chainsaw man),chainsaw man 2,"145,000",3.24,3.24,1,25 % تخفیف,https://www.iranketab.ir/book/88592-chainsaw-man-2,[],"{'id': '1491', 'name': 'کتابیار', 'url': 'https://www.iranketab.ir/publisher/1491-%da%a9%d8%aa%d8%a7%d8%a8%db%8c%d8%a7%d8%b1'}","{'id': '47946', 'name': 'تاتسوکی فوجیموتو', 'url': 'https://www.iranketab.ir/profile/47946-tatsuki-fujimoto'}","[{'id': '21', 'name': 'داستان ماجرایی', 'url': 'https://www.iranketab.ir/tag/21-adventure-stories'}, {'id': '26', 'name': 'ادبیات ژاپن', 'url': 'https://www.iranketab.ir/tag/26-japanese-literature'}, {'id': '27', 'name': 'داستان فانتزی', 'url': 'https://www.iranketab.ir/tag/27-fantasy-stories'}, {'id': '116', 'name': 'ادبیات نوجوان', 'url': 'https://www.iranketab.ir/tag/116-adolescent-literature'}, {'id': '167', 'name': 'دهه 2010 میلادی', 'url': 'https://www.iranketab.ir/tag/167-2010s'}, {'id': '505', 'name': 'کتاب نوجوان', 'url': 'https://www.iranketab.ir/tag/505-adolescence'}, {'id': '539', 'name': 'کتاب مصور', 'url': 'https://www.iranketab.ir/tag/539-comic-books'}, {'id': '1280', 'name': 'زبان اصلی', 'url': 'https://www.iranketab.ir/tag/1280-original-language'}]",برای رسیدن به بزرگترین هدف در تاریخ بشر – لمس یک مشاعره – دنجی همه چیز را در مبارزه با شیطان خفاش خطرناک به خطر می اندازد. اما آیا به دست آوردن آنچه او می خواهد واقعا او را خوشحال می کند …؟,,,,,,انگلیسی,,,,,,,,,,
27845,,978-9644763243,خشتی,216,1397,,شومیز,2,9 مهر,کتاب قصه های شیرین و شاد از ایران و جهان,Happy Stories,"59,000",3.79,3.79,1,25 % تخفیف,https://www.iranketab.ir/book/27845-happy-stories,[],"{'id': '1256', 'name': 'کانون پرورش فکری کودکان و نوجوان', 'url': 'https://www.iranketab.ir/publisher/1256-%da%a9%d8%a7%d9%86%d9%88%d9%86-%d9%be%d8%b1%d9%88%d8%b1%d8%b4-%d9%81%da%a9%d8%b1%db%8c-%da%a9%d9%88%d8%af%da%a9%d8%a7%d9%86-%d9%88-%d9%86%d9%88%d8%ac%d9%88%d8%a7%d9%86'}","{'id': '16184', 'name': 'سید جمال میرخلف', 'url': 'https://www.iranketab.ir/profile/16184-jamal-mirkhalaf'}","[{'id': '103', 'name': 'ادبیات داستانی', 'url': 'https://www.iranketab.ir/tag/103-fiction'}, {'id': '116', 'name': 'ادبیات نوجوان', 'url': 'https://www.iranketab.ir/tag/116-adolescent-literature'}, {'id': '265', 'name': 'مجموعه داستان', 'url': 'https://www.iranketab.ir/tag/265-collections'}, {'id': '356', 'name': 'داستان کوتاه', 'url': 'https://www.iranketab.ir/tag/356-short-story'}, {'id': '437', 'name': 'ادبیات ایران', 'url': 'https://www.iranketab.ir/tag/437-iranian-literature'}, {'id': '505', 'name': 'کتاب نوجوان', 'url': 'https://www.iranketab.ir/tag/505-adolescence'}, {'id': '539', 'name': 'کتاب مصور', 'url': 'https://www.iranketab.ir/tag/539-comic-books'}]",,,,,,,,,,,,,,,,,
98679,محمدرضا شاهی,978-6001651977,وزیری,434,1393,2004,جلد سخت,2,12 مهر,کتاب خودآموز انرژی خورشیدی,Solar Power Your Home for Dummies,"100,000",3.87,3.87,1,10 % تخفیف,https://www.iranketab.ir/book/98679-solar-power-your-home-for-dummies,"[{'id': '53413', 'name': 'محمدرضا شاهی', 'url': 'https://www.iranketab.ir/profile/53413-%d9%85%d8%ad%d9%85%d8%af%d8%b1%d8%b6%d8%a7-%d8%b4%d8%a7%d9%87%db%8c'}]","{'id': '2497', 'name': 'یزدا', 'url': 'https://www.iranketab.ir/publisher/2497-%db%8c%d8%b2%d8%af%d8%a7'}","{'id': '53529', 'name': 'ریک دی گانتر', 'url': 'https://www.iranketab.ir/profile/53529-rik-degunther'}","[{'id': '97', 'name': 'ادبیات آمریکا', 'url': 'https://www.iranketab.ir/tag/97-american-literature'}, {'id': '139', 'name': 'ادبیات واقع گرایانه', 'url': 'https://www.iranketab.ir/tag/139-realism-literature'}, {'id': '168', 'name': 'دهه 2000 میلادی', 'url': 'https://www.iranketab.ir/tag/168-2000s'}, {'id': '590', 'name': 'آموزشی', 'url': 'https://www.iranketab.ir/tag/590-educational'}]",«خودآموز انرژی خورشیدی» یک راهنمای ساده و در عین‌حال کاربردی و مفید است که با زبانی طنزگونه و به دور از تکلف، چگونگی استفاده از انرژی خورشیدی در ساختمان‌های مسکونی را از زوایای مختلف مورد بررسی قرار داده است.این کتاب نگاهی دارد به مباحث زیر:-چگونگی انتخاب و نصب سیستم های خورشیدی-مزایاو معایب سیستم های خورشیدی-خانه های خورشیدی-سرمایش و گرمایش ساختمان با انرژی خورشیدی-انرژی خورشیدی برای استخرها، آب گرم کن ها و تاسیسات ساختمان-تامین روشنایی با استفاده از انرژی خورشیدی-گلخانه و انرژی خورشیدی-ملاحظات اقتصادی سیستم های خورشیدی,,,,,,,,,,,,,,,,
,,,,,,,,,9 مهر,سریال پرواز 57,Flight NO.57,"24,000",3.99,3.99,1,10 % تخفیف,https://www.iranketab.ir/book/72128-flight-no-57,"[{'id': '39808', 'name': 'مهران مدیری', 'url': 'https://www.iranketab.ir/profile/39808-%d9%85%d9%87%d8%b1%d8%a7%d9%86-%d9%85%d8%af%db%8c%d8%b1%db%8c'}]","{'id': '1470', 'name': 'سروش', 'url': 'https://www.iranketab.ir/publisher/1470-%d8%b3%d8%b1%d9%88%d8%b4'}",,"[{'id': '1114', 'name': 'صوتی و تصویری', 'url': 'https://www.iranketab.ir/tag/1114-video-and-audio-content'}, {'id': '1143', 'name': 'سریال', 'url': 'https://www.iranketab.ir/tag/1143-tv-series'}]",پرواز ۵۷ نام مجموعه طنز تلویزیونی‌ای به کارگردانی مهران مدیری بود که در دهه فجر سال ۱۳۷۲ از شبکه یک سیمای جمهوری اسلامی ایران پخش شد. این مجموعهٔ طنز را می‌توان دومین نقطهٔ عطف مجموعه‌های طنز تلویزیونی پس از پیروزی انقلاب اسلامی ایران دانست. لازم به‌ذکر است که نصرالله رادش با بازی در این طنز تلویزیونی وارد عرصهٔ تلویزیون و طنز ایران گردید.,,72128,,,,,مهران مدیری,DVD,4,قاب شیشه ای,فارسی,,,,,
